,case,#words,#adj,%adj,#adv,%adv,#ger,%ger
,19040531.195.US.100.txt,9347,691,7.392746336,391,4.183160372,94,1.005670269
1,19110515.221.US.418.txt,5585,421,7.538048344,230,4.118173679,75,1.342882722
2,19150223.236.US.230.txt,2672,208,7.784431138,105,3.929640719,41,1.534431138
3,19150223.236.US.248.txt,701,43,6.134094151,20,2.853067047,22,3.138373752
4,19150223.236.US.273.txt,835,55,6.586826347,36,4.311377246,12,1.437125749
5,19180107.245.US.366.txt,4869,351,7.208872458,196,4.025467242,105,2.156500308
6,19180610.247.US.402.txt,5085,319,6.273352999,193,3.795476893,122,2.399213373
7,19190303.249.US.182.txt,828,51,6.15942029,36,4.347826087,11,1.328502415
8,19190303.249.US.47.txt,1482,113,7.624831309,68,4.588394062,33,2.226720648
9,19190310.249.US.204.txt,1830,136,7.431693989,79,4.316939891,35,1.912568306
10,19190310.249.US.211.txt,1641,107,6.520414381,71,4.326630104,34,2.071907374
11,19191110.250.US.616.txt,4672,318,6.806506849,196,4.195205479,66,1.412671233
,,,,,,,,
,,3295.583333,234.4166667,6.955103216,135.0833333,4.082613235,54.16666667,1.830547274
